jerzy@cc.com,c7ad44cbad762a5da0a452f9e854fdc1e0e7a52a38015f23f3eab1d80b931dd472634dfac71cd34ebc35d16ab7fb8a90c81f975113d6c7538dc69dd8de9077ec,manager
miriam@cc.com,63008cf2baeb398be05bb37d8dd80316237bf8dec3ab99545bbb21a697930813d237c057e1a12d090dd75ecf58080f60c2b8d9d7df409598910dd93222d413b6,regular_employee
kati@cc.com,63008cf2baeb398be05bb37d8dd80316237bf8dec3ab99545bbb21a697930813d237c057e1a12d090dd75ecf58080f60c2b8d9d7df409598910dd93222d413b6,regular_employee
dominik@cc.com,63008cf2baeb398be05bb37d8dd80316237bf8dec3ab99545bbb21a697930813d237c057e1a12d090dd75ecf58080f60c2b8d9d7df409598910dd93222d413b6,mentor
adam@cc.com,32ade5e7c36fa329ea39dbc352743db40da5aa7460ec55f95b999d6371ad20170094d88d9296643f192e9d5433b8d6d817d6777632e556e96e58f741dc5b3550,student
ewa@cc.com,32ade5e7c36fa329ea39dbc352743db40da5aa7460ec55f95b999d6371ad20170094d88d9296643f192e9d5433b8d6d817d6777632e556e96e58f741dc5b3550,student
michal@cc.com,32ade5e7c36fa329ea39dbc352743db40da5aa7460ec55f95b999d6371ad20170094d88d9296643f192e9d5433b8d6d817d6777632e556e96e58f741dc5b3550,student
tomasz@cc.com,32ade5e7c36fa329ea39dbc352743db40da5aa7460ec55f95b999d6371ad20170094d88d9296643f192e9d5433b8d6d817d6777632e556e96e58f741dc5b3550,student
magda@cc.com,32ade5e7c36fa329ea39dbc352743db40da5aa7460ec55f95b999d6371ad20170094d88d9296643f192e9d5433b8d6d817d6777632e556e96e58f741dc5b3550,student
grzegorz@cc.com,32ade5e7c36fa329ea39dbc352743db40da5aa7460ec55f95b999d6371ad20170094d88d9296643f192e9d5433b8d6d817d6777632e556e96e58f741dc5b3550,student
justyna@cc.com,32ade5e7c36fa329ea39dbc352743db40da5aa7460ec55f95b999d6371ad20170094d88d9296643f192e9d5433b8d6d817d6777632e556e96e58f741dc5b3550,student
piotr@cc.com,63008cf2baeb398be05bb37d8dd80316237bf8dec3ab99545bbb21a697930813d237c057e1a12d090dd75ecf58080f60c2b8d9d7df409598910dd93222d413b6,mentor
